"modelA","modelB","contrast","estimate","SE","df","t.ratio","p.value","p.value.signif"
"gpt2","(Qwen2.5-7B)","gpt2 - (Qwen2.5-7B)",-4.421124164934993,0.6184552824025478,1881.0000000012685,-7.148656161137479,2.606378446401436e-10,"***"
"(gpt2-medium)","(gpt2-large)","(gpt2-medium) - (gpt2-large)",-7.280524996600006,0.6184552824025478,1881.0000000012685,-11.772112234722847,2.3401613979956437e-11,"***"
"(gpt2-medium)","(gpt2-xl)","(gpt2-medium) - (gpt2-xl)",-7.39311657679915,0.6184552824025478,1881.0000000012685,-11.954165138793376,2.3401391935351512e-11,"***"
"(gpt2-medium)","(Llama-3.2-1B)","(gpt2-medium) - (Llama-3.2-1B)",-6.326144043341934,0.6184552824025478,1881.0000000012685,-10.22894334213851,2.3594348697031364e-11,"***"
"(gpt2-medium)","(Llama-3.2-3B)","(gpt2-medium) - (Llama-3.2-3B)",-8.421912768634694,0.6184552824025478,1881.0000000012685,-13.61765839547464,2.3401391935351512e-11,"***"
"(gpt2-medium)","(Llama-3.1-8B)","(gpt2-medium) - (Llama-3.1-8B)",-8.42842509311468,0.6184552824025478,1881.0000000012685,-13.628188379881413,2.3401391935351512e-11,"***"
"(gpt2-medium)","(Qwen2.5-1.5B)","(gpt2-medium) - (Qwen2.5-1.5B)",-6.667260247421758,0.6184552824025478,1881.0000000012685,-10.780504972843113,2.3583468511390038e-11,"***"
"(gpt2-medium)","(Qwen2.5-3B)","(gpt2-medium) - (Qwen2.5-3B)",-6.445348967538557,0.6184552824025478,1881.0000000012685,-10.421689572283949,2.358968576032794e-11,"***"
"(gpt2-medium)","(Qwen2.5-7B)","(gpt2-medium) - (Qwen2.5-7B)",-5.550644766403515,0.6184552824025478,1881.0000000012685,-8.975013916674161,2.35826913552728e-11,"***"
"(gpt2-large)","(gpt2-xl)","(gpt2-large) - (gpt2-xl)",-0.11259158019914439,0.6184552824025478,1881.0000000012685,-0.18205290407053132,1,"ns"
"(gpt2-large)","(Llama-3.2-1B)","(gpt2-large) - (Llama-3.2-1B)",0.954380953258072,0.6184552824025478,1881.0000000012685,1.5431688925843354,0.9930084718307199,"ns"
"(gpt2-large)","(Llama-3.2-3B)","(gpt2-large) - (Llama-3.2-3B)",-1.141387772034689,0.6184552824025478,1881.0000000012685,-1.8455461607517947,0.9524157330428198,"ns"
"(gpt2-large)","(Llama-3.1-8B)","(gpt2-large) - (Llama-3.1-8B)",-1.1479000965146728,0.6184552824025479,1881.0000000012685,-1.8560761451585652,0.9497870359774601,"ns"
"(gpt2-large)","(Qwen2.5-1.5B)","(gpt2-large) - (Qwen2.5-1.5B)",0.6132647491782479,0.6184552824025478,1881.0000000012685,0.9916072618797338,0.9999858919357907,"ns"
"(gpt2-large)","(Qwen2.5-3B)","(gpt2-large) - (Qwen2.5-3B)",0.8351760290614494,0.6184552824025478,1881.0000000012685,1.3504226624388984,0.998701363362771,"ns"
"(gpt2-large)","(Qwen2.5-7B)","(gpt2-large) - (Qwen2.5-7B)",1.7298802301964908,0.6184552824025478,1881.0000000012685,2.797098318048685,0.35845681153194386,"ns"
"(gpt2-xl)","(Llama-3.2-1B)","(gpt2-xl) - (Llama-3.2-1B)",1.0669725334572164,0.6184552824025478,1881.0000000012685,1.7252217966548666,0.9757065950711316,"ns"
"(gpt2-xl)","(Llama-3.2-3B)","(gpt2-xl) - (Llama-3.2-3B)",-1.0287961918355446,0.6184552824025478,1881.0000000012685,-1.6634932566812632,0.9835409818078937,"ns"
"(gpt2-xl)","(Llama-3.1-8B)","(gpt2-xl) - (Llama-3.1-8B)",-1.0353085163155284,0.6184552824025478,1881.0000000012685,-1.674023241088034,0.9823707177415999,"ns"
"(gpt2-xl)","(Qwen2.5-1.5B)","(gpt2-xl) - (Qwen2.5-1.5B)",0.7258563293773923,0.6184552824025478,1881.0000000012685,1.1736601659502652,0.999817181315175,"ns"
"(gpt2-xl)","(Qwen2.5-3B)","(gpt2-xl) - (Qwen2.5-3B)",0.9477676092605938,0.6184552824025478,1881.0000000012685,1.5324755665094298,0.9935640278238924,"ns"
"(gpt2-xl)","(Qwen2.5-7B)","(gpt2-xl) - (Qwen2.5-7B)",1.8424718103956352,0.6184552824025477,1881.0000000012685,2.9791512221192167,0.2439736671714755,"ns"
"(Llama-3.2-1B)","(Llama-3.2-3B)","(Llama-3.2-1B) - (Llama-3.2-3B)",-2.095768725292761,0.6184552824025478,1881.0000000012685,-3.38871505333613,0.08244141978986519,"ns"
"(Llama-3.2-1B)","(Llama-3.1-8B)","(Llama-3.2-1B) - (Llama-3.1-8B)",-2.1022810497727447,0.6184552824025478,1881.0000000012685,-3.3992450377429004,0.07987486717526948,"ns"
"(Llama-3.2-1B)","(Qwen2.5-1.5B)","(Llama-3.2-1B) - (Qwen2.5-1.5B)",-0.3411162040798241,0.6184552824025478,1881.0000000012685,-0.5515616307046016,0.9999999993597342,"ns"
"(Llama-3.2-1B)","(Qwen2.5-3B)","(Llama-3.2-1B) - (Qwen2.5-3B)",-0.11920492419662265,0.6184552824025478,1881.0000000012685,-0.1927462301454369,1,"ns"
"(Llama-3.2-1B)","(Qwen2.5-7B)","(Llama-3.2-1B) - (Qwen2.5-7B)",0.7754992769384188,0.6184552824025477,1881.0000000012685,1.2539294254643498,0.9995289670620149,"ns"
"(Llama-3.2-3B)","(Llama-3.1-8B)","(Llama-3.2-3B) - (Llama-3.1-8B)",-0.006512324479983844,0.6184552824025478,1881.0000000012685,-0.010529984406770776,1,"ns"
"(Llama-3.2-3B)","(Qwen2.5-1.5B)","(Llama-3.2-3B) - (Qwen2.5-1.5B)",1.754652521212937,0.6184552824025478,1881.0000000012685,2.8371534226315287,0.33116362968369917,"ns"
"(Llama-3.2-3B)","(Qwen2.5-3B)","(Llama-3.2-3B) - (Qwen2.5-3B)",1.9765638010961384,0.6184552824025478,1881.0000000012685,3.195968823190693,0.14242653960417906,"ns"
"(Llama-3.2-3B)","(Qwen2.5-7B)","(Llama-3.2-3B) - (Qwen2.5-7B)",2.87126800223118,0.6184552824025478,1881.0000000012685,4.64264447880048,6.408460907322278e-4,"***"
"(Llama-3.1-8B)","(Qwen2.5-1.5B)","(Llama-3.1-8B) - (Qwen2.5-1.5B)",1.7611648456929208,0.6184552824025478,1881.0000000012685,2.8476834070382995,0.32417260545782134,"ns"
"(Llama-3.1-8B)","(Qwen2.5-3B)","(Llama-3.1-8B) - (Qwen2.5-3B)",1.9830761255761222,0.6184552824025478,1881.0000000012685,3.206498807597464,0.1384585269294143,"ns"
"(Llama-3.1-8B)","(Qwen2.5-7B)","(Llama-3.1-8B) - (Qwen2.5-7B)",2.8777803267111635,0.6184552824025478,1881.0000000012685,4.65317446320725,6.101807619093291e-4,"***"
"(Qwen2.5-1.5B)","(Qwen2.5-3B)","(Qwen2.5-1.5B) - (Qwen2.5-3B)",0.22191127988320147,0.6184552824025478,1881.0000000012685,0.35881540055916467,1,"ns"
"(Qwen2.5-1.5B)","(Qwen2.5-7B)","(Qwen2.5-1.5B) - (Qwen2.5-7B)",1.116615481018243,0.6184552824025478,1881.0000000012685,1.8054910561689512,0.9614968483326967,"ns"
"(Qwen2.5-3B)","(Qwen2.5-7B)","(Qwen2.5-3B) - (Qwen2.5-7B)",0.8947042011350415,0.6184552824025478,1881.0000000012685,1.4466756556097866,0.9968280904145745,"ns"
